,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
195,E01001788,Hackney 013C,1582,11.5,42.3,17.2,205000,16,17.1,30.3,2.0,465,23435,16.0,101.13780025284451
196,E01001790,Hackney 013D,1343,5.5,51.7,23.4,235250,8,16.9,23.1,3.0,475,22805,10.0,74.46016381236039
197,E01001740,Hackney 014A,1566,8.7,43.9,21.0,288650,7,13.0,27.4,4.3,420,25346,21.0,134.09961685823754
198,E01001747,Hackney 014B,2137,14.2,44.9,20.7,450000,19,8.0,16.6,6.3,370,34800,126.0,589.6116050538137
199,E01001830,Hackney 014C,1904,10.3,42.9,17.4,395000,21,10.5,18.8,5.2,330,28306,56.0,294.11764705882354
200,E01001833,Hackney 014D,2143,11.6,37.8,18.4,440000,17,9.3,16.3,4.6,465,32918,41.0,191.32057862809145
201,E01001834,Hackney 014E,2059,9.5,38.8,16.9,554225,20,7.4,12.4,4.8,390,37766,25.0,121.41816415735795
202,E01001835,Hackney 014F,1249,7.3,32.7,8.9,525000,17,6.1,11.9,5.0,205,46214,8.0,64.05124099279423
203,E01001733,Hackney 015A,1822,14.5,38.4,18.0,550000,21,9.0,16.7,4.4,390,34150,30.0,164.6542261251372
204,E01001785,Hackney 015B,1486,9.1,41.1,15.1,640000,16,11.1,21.8,4.1,345,29862,12.0,80.75370121130553
205,E01001789,Hackney 015C,1739,9.7,35.7,13.3,565165,23,9.7,17.2,2.6,420,35046,25.0,143.7607820586544
206,E01001791,Hackney 015D,1534,10.4,39.0,14.6,440000,23,14.6,24.6,3.0,445,28238,25.0,162.97262059973926
207,E01001745,Hackney 016A,2249,11.2,43.8,19.7,410000,21,11.4,20.1,4.6,620,26487,51.0,226.7674522009782
208,E01001746,Hackney 016B,1656,4.9,44.7,23.7,250000,7,15.6,24.2,4.0,560,25124,5.0,30.193236714975846
209,E01001757,Hackney 016C,1717,5.0,50.3,20.6,275000,9,13.5,20.0,6.8,510,24745,1.0,5.824111822947001
210,E01001758,Hackney 016D,2087,12.5,46.7,19.9,400000,15,11.9,21.6,7.0,475,26405,45.0,215.6205079060853
211,E01001759,Hackney 016E,1804,10.3,37.0,11.5,441475,18,11.5,17.8,6.5,335,30212,27.0,149.66740576496673
212,E01001761,Hackney 016F,1779,10.7,39.9,15.3,393750,18,10.1,20.6,7.0,355,28031,65.0,365.37380550871273
213,E01001731,Hackney 017A,2300,17.3,40.6,18.2,445000,97,11.9,16.5,6.7,525,27518,108.0,469.5652173913043
214,E01001734,Hackney 017B,1821,13.4,42.6,17.7,449950,11,11.3,15.8,6.8,365,30080,90.0,494.2339373970346
215,E01001760,Hackney 017C,1754,14.4,40.8,17.6,390000,13,11.6,19.0,7.3,350,29351,260.0,1482.3261117445838
216,E01001762,Hackney 017D,1765,14.2,34.7,10.6,477750,20,8.1,13.2,6.7,205,35300,117.0,662.8895184135977
217,E01001846,Hackney 018A,1216,54.3,34.7,12.3,340000,9,13.6,28.8,3.9,285,26210,32.0,263.1578947368421
218,E01001847,Hackney 018B,1129,10.6,36.4,11.8,330000,18,13.2,24.2,4.1,345,25625,26.0,230.29229406554472
219,E01001848,Hackney 018C,1654,15.2,34.3,11.1,426250,16,10.3,24.2,3.8,420,29023,45.0,272.0677146311971
220,E01001849,Hackney 018D,2364,49.6,36.8,15.4,335000,57,11.0,16.6,4.0,590,28381,76.0,321.48900169204734
221,E01001729,Hackney 019A,2021,12.8,41.8,16.3,235000,17,15.6,24.1,5.0,625,23760,94.0,465.1162790697674
222,E01001730,Hackney 019B,1921,13.1,44.5,21.8,225000,10,16.9,30.0,5.3,750,22693,29.0,150.96304008328994
223,E01001732,Hackney 019C,1715,6.5,45.1,21.4,365000,47,18.2,25.1,5.5,545,23028,26.0,151.60349854227405
224,E01001735,Hackney 019D,1632,13.3,36.2,11.5,445000,17,8.5,22.0,6.5,370,30975,31.0,189.95098039215685
225,E01001838,Hackney 019E,1746,6.9,42.2,19.6,276000,12,22.6,30.0,5.9,595,21812,4.0,22.90950744558992
226,E01001850,Hackney 019F,1810,7.1,43.5,18.8,260000,9,18.2,26.3,4.1,675,22124,31.0,171.27071823204417
227,E01001748,Hackney 020A,2306,17.7,35.7,14.6,528000,13,8.4,12.8,6.8,355,35122,174.0,754.5533391153513
228,E01001749,Hackney 020B,1717,10.7,28.9,7.1,582500,30,6.0,10.2,6.4,280,45818,30.0,174.72335468841004
229,E01001763,Hackney 020C,1642,10.9,32.8,11.2,595000,24,12.6,16.3,5.8,320,34916,75.0,456.7600487210718
230,E01001816,Hackney 020D,1625,13.6,32.5,10.2,880000,10,9.5,16.5,3.6,315,38295,44.0,270.7692307692308
231,E01001819,Hackney 020E,1577,13.6,29.5,6.7,1007500,16,7.9,18.1,4.6,250,44092,37.0,234.62270133164236
232,E01001744,Hackney 021B,1879,13.5,39.4,14.0,550000,17,6.2,20.6,6.3,400,32908,33.0,175.62533262373603
233,E01001750,Hackney 021C,1838,14.6,38.5,14.8,375000,25,6.0,17.8,5.1,445,36264,70.0,380.84874863982594
234,E01001751,Hackney 021D,1547,15.4,24.6,4.1,1100000,19,3.6,7.0,5.5,125,65423,51.0,329.6703296703297
235,E01001756,Hackney 021E,2155,16.2,32.3,10.2,596250,32,6.4,11.1,6.8,235,45231,84.0,389.7911832946636
236,E01033698,Hackney 021F,1259,6.0,42.4,17.1,350000,3,9.7,24.9,5.2,240,25630,15.0,119.14217633042098
237,E01033699,Hackney 021G,1217,9.4,45.1,18.5,520000,11,10.1,11.0,6.5,155,34740,299.0,2456.861133935908
238,E01033700,Hackney 021H,1566,11.0,46.0,16.4,530000,33,8.5,11.6,6.9,240,38434,265.0,1692.2094508301404
239,E01033707,Hackney 021I,1303,10.4,47.0,20.8,709000,8,7.2,15.3,5.4,185,29485,198.0,1519.5702225633154
240,E01001836,Hackney 022A,1866,13.2,27.0,11.6,526250,8,9.4,19.9,3.0,425,35849,51.0,273.3118971061093
241,E01001840,Hackney 022B,1676,10.9,38.2,15.5,407500,18,11.3,28.0,4.7,435,26438,22.0,131.26491646778044
242,E01001841,Hackney 022C,1411,13.7,25.8,7.0,482000,8,9.7,21.6,2.8,280,36262,47.0,333.0970942593905
243,E01001844,Hackney 022D,2006,15.6,27.5,12.2,420500,20,7.4,15.1,4.2,345,40816,34.0,169.4915254237288
244,E01001845,Hackney 022E,1555,11.1,33.1,12.8,288500,4,14.2,31.4,3.4,435,25452,8.0,51.44694533762058
245,E01001837,Hackney 023B,1488,11.1,26.5,6.8,510000,13,5.4,10.7,4.8,230,50099,36.0,241.93548387096774
246,E01001839,Hackney 023C,2211,10.8,40.8,17.3,560000,25,8.4,10.1,6.4,355,32109,124.0,560.8322026232474
247,E01001842,Hackney 023D,1589,6.5,36.5,15.2,582000,13,11.3,20.2,5.3,425,28214,44.0,276.90371302706103
248,E01001843,Hackney 023E,1244,7.4,30.5,7.8,490000,9,10.5,19.9,3.7,270,39538,19.0,152.7331189710611
249,E01033704,Hackney 023F,1631,21.9,36.1,14.3,469950,53,4.6,6.6,6.8,290,42930,156.0,956.468424279583
250,E01033712,Hackney 023G,1578,16.2,41.1,16.2,421000,17,9.7,13.3,5.6,315,30447,254.0,1609.6324461343472
251,E01001772,Hackney 024A,1046,6.6,48.7,20.0,445000,123,15.3,25.4,5.0,285,23322,21.0,200.76481835564053
252,E01001774,Hackney 024B,2095,18.0,39.5,15.9,360000,21,8.5,15.9,5.0,460,30013,33.0,157.5178997613365
253,E01001775,Hackney 024C,1776,12.7,43.5,21.1,388550,15,13.0,21.9,3.9,360,24186,54.0,304.05405405405406
254,E01001815,Hackney 024D,1774,10.9,39.5,14.6,397500,10,13.7,23.7,4.0,365,26138,9.0,50.73280721533258
255,E01001820,Hackney 024E,1463,8.5,40.5,13.4,440000,10,12.6,26.3,3.9,315,27096,28.0,191.38755980861242
256,E01001821,Hackney 024F,1460,6.9,38.4,13.7,347750,8,12.8,27.1,4.1,350,24488,10.0,68.4931506849315
257,E01001752,Hackney 025A,2307,12.8,39.1,13.5,524750,60,6.5,11.0,3.9,380,39603,48.0,208.0624187256177
258,E01001753,Hackney 025B,1629,7.5,45.5,22.6,256250,8,17.2,24.6,3.7,455,24817,30.0,184.1620626151013
259,E01001754,Hackney 025C,2379,12.2,42.3,15.6,362000,30,9.4,17.6,4.7,595,29628,107.0,449.7688104245481
260,E01001755,Hackney 025D,1788,10.2,40.6,20.2,395000,13,11.5,23.7,4.3,425,26469,66.0,369.1275167785235
261,E01001773,Hackney 025E,2052,12.2,45.2,18.1,405199,37,10.5,19.1,5.2,420,27817,107.0,521.4424951267056
262,E01001776,Hackney 025F,1439,10.2,48.5,19.6,540000,11,13.3,28.2,5.4,270,23861,56.0,389.1591382904795
263,E01001779,Hackney 026A,2437,13.9,46.0,21.7,592500,110,8.9,19.0,6.0,495,29262,216.0,886.3356585966352
264,E01001781,Hackney 026B,1667,15.1,44.0,21.6,321500,14,17.3,26.4,5.2,370,22474,39.0,233.9532093581284
265,E01001782,Hackney 026C,2300,13.7,39.3,17.3,785135,33,7.6,15.0,3.5,370,39996,43.0,186.95652173913044
266,E01001783,Hackney 026D,1897,6.1,47.1,24.4,315000,11,16.5,24.6,5.8,405,23965,14.0,73.80073800738008
267,E01001777,Hackney 027B,2358,15.4,44.6,25.2,525000,15,8.2,16.2,6.0,460,27870,110.0,466.49703138252755
268,E01001780,Hackney 027D,1825,11.0,43.2,16.7,950000,17,11.7,18.6,7.2,330,28197,167.0,915.0684931506848
269,E01001784,Hackney 027E,2273,7.6,45.4,20.5,415000,21,9.7,16.7,5.9,400,26494,46.0,202.37571491421028
270,E01033706,Hackney 027F,1539,13.5,51.2,21.3,600000,23,5.7,5.0,7.4,130,47826,807.0,5243.664717348928
271,E01033708,Hackney 027G,1599,35.7,50.7,20.3,750000,35,3.6,3.0,7.9,100,54621,1489.0,9312.070043777361
272,E01033709,Hackney 027H,1670,8.8,46.1,21.3,445000,17,5.5,12.3,6.7,300,33398,60.0,359.2814371257485
273,E01033711,Hackney 027I,1105,7.7,50.9,16.0,486500,12,4.7,7.2,7.0,145,39439,193.0,1746.606334841629
274,E01001798,Hackney 028A,1785,10.5,45.9,21.6,315500,20,15.5,26.1,4.3,560,24865,30.0,168.0672268907563
275,E01001828,Hackney 028B,2057,11.1,45.6,21.7,275000,31,15.9,23.1,2.5,565,25351,27.0,131.25911521633446
276,E01033702,Hackney 028C,1193,10.0,39.6,25.2,283000,31,11.5,19.1,2.1,475,27441,20.0,167.64459346186086
277,E01033705,Hackney 028D,1417,16.0,39.5,19.3,336500,14,12.2,18.2,3.3,430,27548,29.0,204.65772759350742
278,E01033710,Hackney 028E,1159,4.2,45.5,26.3,250000,38,10.6,15.1,2.7,310,28780,6.0,51.76876617773943
279,E01001722,Hackney 029A,2028,10.6,39.8,20.0,332500,8,11.1,24.0,4.3,640,27825,29.0,142.99802761341223
280,E01001728,Hackney 029B,2015,9.1,33.8,20.4,249000,5,12.2,37.7,4.0,955,29256,18.0,89.33002481389578
281,E01001822,Hackney 029C,1785,8.4,46.5,27.1,250000,11,15.0,31.2,3.9,705,24485,49.0,274.5098039215686
282,E01001827,Hackney 029D,1916,17.2,37.1,20.0,331000,2,14.4,32.8,3.2,685,26187,14.0,73.06889352818371
283,E01001874,Hammersmith and Fulham 001A,2055,97.4,48.7,18.0,430000,21,7.6,16.7,5.5,320,29289,160.0,778.5888077858881
284,E01001875,Hammersmith and Fulham 001B,1854,16.9,40.3,20.9,468250,8,11.8,31.5,5.9,520,25708,36.0,194.17475728155338
285,E01001876,Hammersmith and Fulham 001C,2232,89.5,52.3,35.6,440000,6,9.8,20.1,3.5,540,25948,61.0,273.2974910394265
286,E01001877,Hammersmith and Fulham 001D,1345,126.3,50.1,24.2,631132,10,9.6,19.2,3.5,285,28378,32.0,237.9182156133829
287,E01001878,Hammersmith and Fulham 001E,1689,14.0,35.9,17.0,483278,12,12.1,29.7,5.9,460,26366,10.0,59.20663114268798
288,E01001955,Hammersmith and Fulham 002A,1807,21.9,42.5,20.5,375000,51,13.6,29.6,2.6,530,24143,14.0,77.4764803541782
289,E01001957,Hammersmith and Fulham 002B,1616,7.3,53.2,27.1,275000,11,13.0,23.5,3.1,525,19457,15.0,92.82178217821782
290,E01001958,Hammersmith and Fulham 002C,1671,4.5,51.0,28.2,276000,14,13.4,24.6,2.8,565,18356,9.0,53.85996409335727
291,E01001961,Hammersmith and Fulham 002D,1564,7.1,51.2,28.5,270000,5,14.4,24.5,2.8,565,18995,5.0,31.9693094629156
292,E01001954,Hammersmith and Fulham 003A,1525,8.8,39.3,14.3,750000,17,6.9,18.5,3.7,305,32544,21.0,137.7049180327869
293,E01001956,Hammersmith and Fulham 003B,1593,13.4,41.4,15.3,437000,7,8.6,18.6,3.6,315,34811,9.0,56.497175141242934
294,E01001959,Hammersmith and Fulham 003C,1728,19.4,41.3,15.3,560000,5,11.6,24.7,3.1,480,28200,25.0,144.67592592592592
295,E01001960,Hammersmith and Fulham 003D,1885,8.1,41.1,11.3,523750,32,4.5,10.3,4.0,285,37966,27.0,143.23607427055703
296,E01001943,Hammersmith and Fulham 004A,1954,44.5,49.1,19.4,686500,18,7.7,12.8,7.5,285,32654,779.0,3986.693961105425
297,E01001944,Hammersmith and Fulham 004B,1689,6.5,52.0,24.2,280000,9,16.7,23.3,5.8,405,21313,53.0,313.79514505624627
298,E01001945,Hammersmith and Fulham 004C,1752,11.5,41.3,16.8,485000,21,5.5,12.5,4.7,260,35591,39.0,222.60273972602738
299,E01001946,Hammersmith and Fulham 004D,1633,12.4,45.3,15.8,588500,22,7.1,12.7,4.8,280,33811,52.0,318.43233312921006
300,E01001862,Hammersmith and Fulham 005A,1768,9.1,43.8,17.2,480000,36,8.6,16.4,4.1,295,31544,22.0,124.43438914027149
301,E01001940,Hammersmith and Fulham 005B,1601,8.1,44.3,18.9,413750,18,8.6,14.1,4.6,300,30269,28.0,174.89069331667707
302,E01001941,Hammersmith and Fulham 005C,1677,14.5,50.9,17.7,230000,41,6.1,9.6,6.7,180,35110,141.0,840.7871198568872
303,E01001942,Hammersmith and Fulham 005D,1869,9.3,47.5,19.2,533000,30,7.5,13.1,4.6,260,35855,34.0,181.9154628143392
304,E01001858,Hammersmith and Fulham 006A,1793,12.5,41.7,15.2,435000,25,6.3,13.8,3.7,280,32206,42.0,234.24428332403792
305,E01001860,Hammersmith and Fulham 006B,1769,8.6,47.0,20.0,405000,16,11.3,15.8,4.1,335,28033,36.0,203.50480497456192
306,E01001861,Hammersmith and Fulham 006C,1498,7.5,46.3,21.7,525000,16,7.9,15.3,3.9,285,32429,16.0,106.8090787716956
307,E01001863,Hammersmith and Fulham 006D,1531,8.3,34.4,12.2,499999,21,6.1,11.2,3.7,245,41718,19.0,124.101894186806
308,E01001864,Hammersmith and Fulham 006E,1578,7.4,40.4,16.2,625000,11,6.9,15.7,4.0,225,36369,14.0,88.71989860583017
309,E01001852,Hammersmith and Fulham 007A,1792,7.5,50.0,16.9,663500,36,4.4,5.8,6.9,170,41949,27.0,150.66964285714286
310,E01001853,Hammersmith and Fulham 007B,1533,8.2,41.8,15.7,669830,30,4.7,6.0,6.4,190,48841,33.0,215.26418786692759
311,E01001854,Hammersmith and Fulham 007C,1732,6.6,44.7,18.4,451000,45,6.7,8.4,7.2,225,36158,28.0,161.66281755196306
312,E01001857,Hammersmith and Fulham 007D,1477,7.1,49.3,21.1,381500,18,9.9,18.7,7.8,275,25478,158.0,1069.735951252539
313,E01001859,Hammersmith and Fulham 008A,2541,10.7,43.1,21.2,470000,47,7.7,11.9,2.9,610,32568,10.0,39.354584809130266
314,E01001865,Hammersmith and Fulham 008B,1682,11.7,42.6,11.4,662500,26,7.2,10.2,2.9,245,44702,9.0,53.5077288941736
315,E01001927,Hammersmith and Fulham 008C,1504,20.0,33.0,7.4,2287500,8,5.2,5.8,3.1,185,64996,11.0,73.13829787234043
316,E01001930,Hammersmith and Fulham 008D,1854,25.4,37.3,11.2,575000,27,6.0,14.5,3.7,260,36675,23.0,124.05609492988134
317,E01001895,Hammersmith and Fulham 009A,1594,8.7,34.9,9.6,885500,20,5.8,12.0,4.1,200,42330,27.0,169.38519447929738
318,E01001896,Hammersmith and Fulham 009B,1548,8.4,41.9,13.9,663000,18,4.7,12.6,5.1,190,34281,13.0,83.97932816537468
319,E01001897,Hammersmith and Fulham 009C,1461,9.6,34.0,13.2,1185500,12,4.7,8.8,4.8,215,56020,25.0,171.11567419575633
320,E01001929,Hammersmith and Fulham 009D,1260,8.5,30.9,6.5,1150000,23,3.1,7.6,5.3,190,60245,24.0,190.47619047619048
321,E01001851,Hammersmith and Fulham 010A,1632,9.9,38.0,14.2,1185000,25,3.0,6.8,5.7,185,62626,23.0,140.9313725490196
322,E01001855,Hammersmith and Fulham 010B,1677,7.7,42.2,16.6,590250,34,4.8,8.3,5.3,175,47000,42.0,250.44722719141325
323,E01001856,Hammersmith and Fulham 010C,1675,8.3,42.7,20.1,802500,12,7.7,12.2,6.4,320,35666,31.0,185.07462686567163
324,E01001869,Hammersmith and Fulham 010D,1334,23.2,42.4,13.4,935000,13,2.9,7.3,6.3,170,68517,63.0,472.263868065967
325,E01001873,Hammersmith and Fulham 010E,1450,6.2,44.5,18.0,600000,23,7.1,12.8,4.4,250,35267,20.0,137.9310344827586
326,E01001928,Hammersmith and Fulham 011A,1724,18.7,36.5,15.1,850000,17,7.0,12.0,4.4,300,45800,26.0,150.8120649651972
327,E01001931,Hammersmith and Fulham 011B,1498,6.8,45.3,22.7,735000,78,7.4,9.2,4.6,310,33145,14.0,93.45794392523364
328,E01001932,Hammersmith and Fulham 011C,1621,17.9,43.1,17.3,499950,13,7.1,9.5,3.9,220,36798,94.0,579.8889574336829
329,E01001933,Hammersmith and Fulham 011D,1324,18.2,33.3,10.9,647500,56,7.1,8.4,3.5,180,47060,36.0,271.9033232628399
330,E01001866,Hammersmith and Fulham 012A,1579,15.0,54.1,24.7,731000,22,6.4,5.7,6.8,135,46487,83.0,525.649145028499
331,E01001867,Hammersmith and Fulham 012B,1362,8.8,55.0,24.2,642500,16,6.2,8.9,6.6,95,37281,6.0,44.05286343612335
332,E01001868,Hammersmith and Fulham 012C,1341,6.0,46.8,23.7,497500,2,9.2,20.9,6.2,270,25936,7.0,52.19985085756898
333,E01001870,Hammersmith and Fulham 012D,1932,10.1,55.9,26.2,505000,40,5.2,6.5,5.6,160,36555,21.0,108.69565217391305
334,E01001871,Hammersmith and Fulham 012E,1604,13.1,61.5,22.5,687000,29,6.0,8.6,6.3,145,47680,26.0,162.09476309226932
335,E01001872,Hammersmith and Fulham 012F,1614,7.1,53.5,22.0,621500,19,8.1,7.2,6.2,110,43636,7.0,43.37050805452293
336,E01001893,Hammersmith and Fulham 013A,1244,7.8,37.7,16.3,571000,13,9.9,18.4,6.9,290,27800,24.0,192.92604501607718
337,E01001894,Hammersmith and Fulham 013B,1320,15.6,42.8,16.9,390750,10,9.2,18.2,6.1,210,31020,99.0,750.0
338,E01001898,Hammersmith and Fulham 013C,1591,28.6,43.7,16.6,613000,20,6.6,7.9,7.1,205,40953,489.0,3073.5386549340037
339,E01001899,Hammersmith and Fulham 013D,1380,12.5,42.3,19.7,640000,19,10.9,25.2,7.0,255,26724,178.0,1289.855072463768
340,E01001900,Hammersmith and Fulham 013E,1785,13.6,45.2,17.7,1085000,12,7.2,18.6,6.8,270,32216,65.0,364.14565826330534
341,E01001889,Hammersmith and Fulham 014A,1390,14.4,41.4,11.3,860000,22,4.3,8.7,4.7,140,48469,42.0,302.158273381295
342,E01001910,Hammersmith and Fulham 014B,1512,8.0,50.8,22.1,475000,36,4.8,7.2,5.2,100,41236,31.0,205.026455026455
343,E01001913,Hammersmith and Fulham 014C,1545,10.9,40.8,12.9,681600,27,2.8,3.2,4.5,80,59306,18.0,116.50485436893204
344,E01001914,Hammersmith and Fulham 014D,1715,6.7,57.0,24.9,565000,19,5.2,7.7,5.3,150,36349,38.0,221.57434402332362
345,E01001885,Hammersmith and Fulham 015A,1319,5.5,42.8,23.4,410000,3,16.6,28.8,4.9,410,21568,12.0,90.97801364670205
346,E01001908,Hammersmith and Fulham 015B,1636,4.3,55.9,28.3,558000,22,5.9,6.6,5.1,120,38438,26.0,158.9242053789731
347,E01001909,Hammersmith and Fulham 015C,1822,8.8,42.1,17.7,499175,26,6.5,15.0,5.3,245,35191,19.0,104.28100987925357
348,E01001911,Hammersmith and Fulham 015D,1761,15.6,44.0,22.2,450000,9,10.3,20.4,5.3,485,25954,28.0,159.0005678591709
349,E01001912,Hammersmith and Fulham 015E,1598,9.5,45.2,25.5,329000,1,12.2,19.4,6.0,375,25244,23.0,143.9299123904881
350,E01001886,Hammersmith and Fulham 016A,1572,9.8,40.5,17.4,570000,20,8.7,16.6,3.5,265,31180,53.0,337.15012722646316
351,E01001887,Hammersmith and Fulham 016B,1519,10.9,40.5,11.2,432500,12,5.5,17.4,3.9,205,31808,15.0,98.74917709019093
352,E01001890,Hammersmith and Fulham 016C,1815,13.1,53.6,22.7,725000,25,3.7,6.5,4.5,140,35632,90.0,495.86776859504135
353,E01001892,Hammersmith and Fulham 016D,1366,7.1,39.2,14.2,495000,16,8.4,17.7,3.4,220,30655,16.0,117.13030746705711
354,E01001880,Hammersmith and Fulham 017A,1497,12.7,41.2,18.4,642500,28,5.9,16.9,5.1,200,36767,36.0,240.4809619238477
355,E01001881,Hammersmith and Fulham 017B,1615,11.3,45.2,15.1,815000,45,3.7,9.5,5.6,125,52187,43.0,266.25386996904024
356,E01001882,Hammersmith and Fulham 017C,1762,7.9,46.4,15.5,865000,34,4.2,7.1,4.8,150,52500,17.0,96.48127128263337
357,E01001883,Hammersmith and Fulham 017D,1485,13.2,45.7,18.8,1950000,45,5.2,14.3,6.7,170,34708,46.0,309.76430976430976
358,E01001884,Hammersmith and Fulham 017E,1843,8.1,44.9,18.3,689999,17,5.4,16.8,6.6,225,34299,95.0,515.4639175257731
359,E01001888,Hammersmith and Fulham 018A,1614,9.8,37.2,7.5,875000,27,4.8,11.1,3.7,145,47653,26.0,161.090458488228
360,E01001891,Hammersmith and Fulham 018B,2030,17.4,49.2,20.3,842475,110,3.2,7.4,5.1,145,44278,55.0,270.93596059113304
361,E01001917,Hammersmith and Fulham 018C,1462,10.9,33.7,8.2,725000,17,3.3,16.4,3.2,175,46207,11.0,75.23939808481532
362,E01001918,Hammersmith and Fulham 018D,1519,10.5,34.2,7.9,850000,23,4.8,10.6,3.1,220,51437,12.0,78.99934167215274
363,E01001919,Hammersmith and Fulham 018E,1630,14.3,32.8,11.7,940000,27,4.4,9.8,3.0,255,59872,19.0,116.56441717791411
364,E01001879,Hammersmith and Fulham 019A,1475,8.0,40.2,16.7,880000,19,7.6,15.0,3.7,180,35330,19.0,128.8135593220339
365,E01001901,Hammersmith and Fulham 019B,1625,8.5,36.3,12.1,1250000,25,5.1,7.3,3.7,205,59013,19.0,116.92307692307693
366,E01001902,Hammersmith and Fulham 019C,1699,7.3,39.1,12.4,705250,28,4.6,11.3,3.2,145,39484,14.0,82.40141259564449
367,E01001903,Hammersmith and Fulham 019D,1649,11.0,39.5,13.1,550000,23,7.2,16.7,3.8,275,32297,20.0,121.28562765312311
368,E01001920,Hammersmith and Fulham 020A,1513,16.5,42.4,16.4,1607500,12,7.4,19.3,5.9,165,32254,138.0,912.0951751487112
369,E01001921,Hammersmith and Fulham 020B,1536,9.8,37.4,12.7,1135000,28,6.8,11.0,6.0,160,53498,29.0,188.80208333333331
370,E01001922,Hammersmith and Fulham 020C,1605,19.1,37.4,12.4,1749600,33,5.3,7.0,4.0,210,66015,39.0,242.99065420560748
371,E01001923,Hammersmith and Fulham 020D,1479,11.3,37.0,9.8,1120000,25,3.9,12.1,5.2,180,53047,37.0,250.16903313049357
372,E01001924,Hammersmith and Fulham 020E,1596,9.8,40.5,11.9,810000,21,3.0,4.5,4.3,175,70788,12.0,75.18796992481202
373,E01001947,Hammersmith and Fulham 021A,1448,5.5,38.9,18.6,400000,5,13.1,22.9,4.7,415,23795,32.0,220.99447513812154
374,E01001948,Hammersmith and Fulham 021B,2012,11.5,36.4,13.6,590000,29,4.4,6.8,4.1,225,52878,43.0,213.71769383697813
375,E01001949,Hammersmith and Fulham 021C,1547,8.0,41.4,12.5,1125000,25,4.0,4.8,4.0,140,62049,11.0,71.10536522301229
376,E01001950,Hammersmith and Fulham 021D,1596,10.8,41.6,13.1,755000,34,3.7,4.8,4.7,170,65418,32.0,200.50125313283206
377,E01001951,Hammersmith and Fulham 021E,1609,10.3,39.0,11.8,782150,20,5.0,8.7,4.6,195,48993,42.0,261.0316967060286
378,E01001953,Hammersmith and Fulham 021F,1366,9.2,45.2,17.4,597500,16,6.8,14.9,5.4,195,35213,102.0,746.7057101024891
379,E01001904,Hammersmith and Fulham 022A,1587,14.1,38.8,12.8,675000,39,4.5,9.2,3.5,150,53985,16.0,100.81915563957152
380,E01001905,Hammersmith and Fulham 022B,1702,8.6,38.7,10.1,830000,28,2.6,8.3,3.5,130,56958,24.0,141.0105757931845
381,E01001906,Hammersmith and Fulham 022C,1439,6.3,37.2,10.2,765000,35,4.1,6.4,3.7,135,53757,17.0,118.13759555246699
382,E01001907,Hammersmith and Fulham 022D,1303,6.7,38.4,12.1,700000,33,4.5,8.1,4.6,170,58816,19.0,145.81734458940906
383,E01001935,Hammersmith and Fulham 023A,2059,10.8,34.3,8.6,752500,46,6.2,12.1,3.4,280,44894,23.0,111.70471102476931
384,E01001939,Hammersmith and Fulham 023C,2321,32.5,40.0,13.7,835500,54,6.4,15.5,3.7,385,36020,43.0,185.2649719948298
385,E01032788,Hammersmith and Fulham 023D,1106,11.7,32.5,10.1,815000,107,8.1,13.7,3.8,195,35752,16.0,144.6654611211573
386,E01032789,Hammersmith and Fulham 023E,1151,3.0,55.0,27.3,825000,33,5.2,5.8,4.0,200,40775,17.0,147.6976542137272
387,E01032790,Hammersmith and Fulham 023F,1118,7.9,50.9,21.4,922500,18,4.6,11.8,3.8,250,44715,6.0,53.66726296958855
388,E01001915,Hammersmith and Fulham 024A,1482,42.3,35.6,10.5,1630000,18,4.0,7.7,4.2,200,63393,36.0,242.91497975708504
389,E01001916,Hammersmith and Fulham 024B,1390,35.8,34.4,8.3,1512500,16,3.4,4.7,5.4,90,67757,41.0,294.9640287769784
390,E01001926,Hammersmith and Fulham 024C,1456,9.1,34.3,8.6,1332500,30,3.9,5.9,4.0,145,68262,23.0,157.96703296703296
391,E01001952,Hammersmith and Fulham 024D,1623,9.7,42.9,11.4,656000,37,4.6,6.8,5.3,130,45601,54.0,332.71719038817
392,E01001925,Hammersmith and Fulham 025A,1628,14.2,38.3,14.7,1837500,26,3.9,6.1,3.4,245,73712,18.0,110.56511056511056
393,E01001934,Hammersmith and Fulham 025B,1622,18.2,39.6,15.6,530000,20,9.1,15.0,2.5,375,33951,10.0,61.652281134401974
394,E01001937,Hammersmith and Fulham 025C,1823,19.4,34.0,10.9,1320000,25,5.2,9.2,3.0,200,57341,25.0,137.13658804168952
395,E01001938,Hammersmith and Fulham 025D,1560,10.7,33.6,12.2,612750,16,6.5,17.2,3.3,405,32751,22.0,141.02564102564102
396,E01001969,Haringey 001A,1888,14.4,49.0,25.3,400000,21,10.0,19.6,4.6,390,27109,10.0,52.96610169491525
