,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
170,E01001801,Hackney 008B,1664,14.8,31.6,12.9,392500,9,8.7,31.6,2.7,570,33056,14.0,84.13461538461539
171,E01001803,Hackney 008C,1863,16.4,27.2,14.2,605000,19,5.5,13.4,3.1,445,47091,17.0,91.2506709608159
172,E01001806,Hackney 008D,1546,32.6,30.6,11.9,378026,16,8.5,16.5,3.3,265,36785,65.0,420.43984476067266
173,E01001741,Hackney 009A,1490,8.7,25.6,8.0,850000,15,3.5,11.1,3.7,265,54378,25.0,167.78523489932886
174,E01001805,Hackney 009B,1206,14.7,34.6,17.6,445000,19,6.9,12.0,5.6,220,42572,17.0,140.96185737976782
175,E01001829,Hackney 009C,1794,11.2,25.0,7.3,595000,23,5.3,9.3,5.1,310,57683,19.0,105.90858416945373
176,E01001831,Hackney 009D,1677,11.1,41.8,17.2,405000,20,5.4,14.7,6.5,270,39216,112.0,667.8592725104353
177,E01001832,Hackney 009E,1619,10.2,35.5,13.2,636250,10,7.9,14.6,5.9,300,38736,8.0,49.413218035824585
178,E01001764,Hackney 010A,1688,10.5,38.4,17.7,375000,23,10.1,17.6,5.3,385,30468,20.0,118.48341232227487
179,E01001765,Hackney 010B,1717,12.6,44.1,19.0,199950,5,18.4,29.6,4.2,590,22782,14.0,81.53756552125802
180,E01001767,Hackney 010D,1603,10.6,39.4,18.6,445000,29,10.4,15.7,5.2,325,33605,27.0,168.4341859014348
181,E01001770,Hackney 010E,1738,13.0,44.8,21.8,315500,11,13.9,24.7,6.4,390,25907,25.0,143.84349827387803
182,E01033703,Hackney 010F,1410,6.5,42.5,22.1,306375,16,10.9,20.0,6.2,240,27000,24.0,170.2127659574468
183,E01033713,Hackney 010G,1346,26.2,37.4,18.1,440625,18,11.8,17.8,5.3,275,29701,43.0,319.46508172362553
184,E01001792,Hackney 011A,1780,17.5,40.3,16.3,322500,16,9.8,18.9,5.6,455,32767,31.0,174.1573033707865
185,E01001793,Hackney 011B,1685,16.0,37.3,14.9,500000,24,10.6,16.4,4.1,330,34429,14.0,83.0860534124629
186,E01001794,Hackney 011C,1909,12.8,37.2,20.7,640000,29,9.1,22.2,5.7,375,40167,49.0,256.6788894709272
187,E01001795,Hackney 011D,1464,10.2,36.6,15.4,670000,22,12.8,14.1,5.3,285,36561,28.0,191.2568306010929
188,E01001796,Hackney 011E,1647,9.2,45.0,22.5,444000,17,10.5,14.6,4.2,240,29969,23.0,139.64784456587736
189,E01001736,Hackney 012A,1656,9.0,29.7,12.6,490000,19,6.7,13.2,3.4,320,45623,24.0,144.92753623188406
190,E01001737,Hackney 012B,1842,10.0,29.8,8.5,680000,27,6.3,9.6,3.2,320,51069,66.0,358.30618892508147
191,E01001738,Hackney 012C,1758,9.1,33.9,15.0,415000,22,6.3,13.5,4.0,295,43760,20.0,113.76564277588169
192,E01001739,Hackney 012D,2090,12.2,29.5,10.4,460000,31,6.2,11.2,4.0,300,48840,39.0,186.60287081339715
193,E01001786,Hackney 013A,1825,113.1,49.1,21.8,325000,21,15.2,24.4,3.3,710,23792,31.0,169.86301369863014
194,E01001787,Hackney 013B,1589,22.2,45.2,17.4,322500,7,17.4,32.2,2.1,520,22273,7.0,44.05286343612335
